iter	Passed	Remaining
0	1	160
1	2	146
2	4	135
3	5	124
4	6	125
5	8	127
6	9	130
7	11	126
8	12	122
9	13	117
10	14	117
11	15	115
12	16	112
13	17	110
14	18	106
15	19	104
16	20	101
17	21	99
18	22	97
19	23	95
20	25	94
21	26	93
22	27	91
23	28	90
24	29	88
25	30	86
26	31	84
27	32	83
28	33	81
29	34	79
30	34	77
31	35	76
32	36	75
33	38	74
34	39	73
35	40	72
36	42	71
37	44	71
38	45	71
39	46	70
40	47	68
41	48	66
42	48	64
43	49	63
44	50	61
45	51	60
46	53	59
47	54	58
48	55	57
49	56	56
50	57	54
51	57	53
52	58	51
53	59	50
54	60	49
55	60	47
56	61	46
57	62	45
58	63	44
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	84	22
79	85	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	13
87	94	12
88	96	11
89	97	10
90	98	9
91	99	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
