iter	Passed	Remaining
0	98	98843
1	100	49973
2	101	33697
3	103	25769
4	106	21111
5	108	17918
6	109	15567
7	110	13725
8	112	12338
9	113	11263
10	115	10364
11	116	9611
12	118	8991
13	120	8486
14	122	8038
15	123	7623
16	125	7272
17	127	6959
18	129	6661
19	130	6400
20	132	6185
21	135	6004
22	137	5836
23	139	5660
24	140	5489
25	142	5342
26	144	5208
27	146	5071
28	148	4967
29	150	4870
30	152	4768
31	154	4666
32	155	4565
33	157	4485
34	159	4395
35	161	4313
36	162	4236
37	164	4168
38	166	4106
39	168	4039
40	170	3981
41	172	3934
42	174	3877
43	175	3816
44	177	3768
45	179	3729
46	181	3678
47	183	3629
48	184	3581
49	185	3533
50	187	3488
51	188	3445
52	190	3400
53	191	3359
54	194	3336
55	196	3304
56	197	3269
57	199	3232
58	200	3195
59	201	3160
60	202	3124
61	204	3090
62	205	3057
63	207	3034
64	209	3016
65	211	2994
66	213	2968
67	214	2941
68	215	2912
69	216	2882
70	218	2856
71	219	2828
72	220	2801
73	221	2772
74	222	2750
75	224	2732
76	226	2710
77	227	2683
78	227	2658
79	228	2632
80	229	2609
81	230	2585
82	231	2555
83	232	2531
84	233	2508
85	234	2488
86	234	2465
87	235	2442
88	236	2420
89	237	2399
90	238	2383
91	239	2365
92	240	2347
93	241	2329
94	242	2313
95	243	2295
96	244	2276
97	245	2259
98	246	2241
99	247	2223
100	247	2204
101	248	2188
102	249	2171
103	249	2153
104	250	2136
105	251	2122
106	252	2108
107	253	2095
108	254	2082
109	255	2066
110	256	2053
111	257	2041
112	258	2027
113	259	2013
114	259	1999
115	260	1987
116	261	1973
117	262	1960
118	263	1947
119	263	1934
120	264	1921
121	265	1908
122	266	1899
123	267	1890
124	269	1883
125	270	1877
126	271	1868
127	272	1859
128	274	1852
129	275	1844
130	276	1836
131	277	1827
132	279	1818
133	279	1809
134	280	1800
135	281	1790
136	282	1782
137	284	1774
138	285	1765
139	285	1756
140	286	1747
141	287	1738
142	288	1730
143	289	1721
144	290	1712
145	291	1704
146	292	1696
147	293	1687
148	293	1678
149	295	1671
150	296	1666
151	297	1662
152	299	1656
153	300	1649
154	301	1641
155	302	1634
156	302	1626
157	303	1618
158	304	1611
159	305	1603
160	305	1594
161	306	1588
162	307	1580
163	308	1573
164	309	1566
165	310	1559
166	311	1552
167	312	1546
168	313	1542
169	314	1537
170	315	1530
171	316	1525
172	318	1520
173	319	1515
174	320	1509
175	321	1502
176	321	1496
177	322	1489
178	323	1483
179	324	1478
180	325	1472
181	326	1466
182	326	1459
183	328	1455
184	329	1451
185	330	1445
186	331	1440
187	332	1434
188	332	1428
189	333	1423
190	334	1417
191	335	1411
192	336	1406
193	337	1400
194	337	1394
195	338	1389
196	339	1384
197	340	1379
198	341	1374
199	342	1369
200	343	1366
201	344	1362
202	345	1358
203	346	1353
204	347	1348
205	348	1342
206	349	1337
207	350	1332
208	350	1328
209	351	1323
210	352	1318
211	353	1314
212	354	1309
213	355	1305
214	356	1302
215	359	1304
216	361	1302
217	362	1299
218	364	1298
219	365	1297
220	367	1296
221	369	1293
222	370	1290
223	372	1291
224	375	1292
225	376	1290
226	378	1287
227	379	1284
228	380	1280
229	381	1277
230	382	1274
231	383	1271
232	385	1267
233	386	1264
234	387	1261
235	389	1261
236	391	1259
237	392	1255
238	393	1251
239	393	1247
240	394	1243
241	395	1240
242	397	1236
243	398	1235
244	400	1233
245	401	1229
246	402	1226
247	404	1225
248	405	1223
249	407	1221
250	408	1218
251	409	1215
252	410	1212
253	411	1209
254	413	1207
255	414	1204
256	415	1201
257	416	1199
258	418	1196
259	420	1195
260	421	1192
261	422	1189
262	423	1187
263	425	1184
264	426	1182
265	427	1180
266	428	1177
267	430	1174
268	431	1172
269	432	1169
270	435	1171
271	436	1167
272	437	1164
273	438	1161
274	439	1157
275	440	1155
276	441	1152
277	443	1150
278	444	1147
279	445	1145
280	446	1143
